code,name,date,close,action,strength,reason
SZ000035,中国天楹,2021-10-27,4.84,BUY_CHECK; SELL_MUST; SELL_CHECK; ,1.0,"macd dea_signal over 0 n days_34; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 4.84 ,sma60 4.680333333333334; macd dif less than 0; macd sig great than 0; macd dif less than sig; "
SZ000155,川能动力,2021-10-27,30.24,BUY_CHECK; BUY_CHECK; BUY_CHECK; BUY_CHECK; SELL_MUST; BUY_CHECK; ,1.0,"macd historgram over 0 n days_5; ma55 near ma21; close great than 1.05 sma60; close great than 1.2 sma200; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 30.24 ,sma60 28.764166666666668; macd dif less than 0; macd sig less than 0; macd dif great than sig; "
SZ000166,申万宏源,2021-10-27,5.21,BUY_CHECK; SELL_MUST; SELL_CHECK; ,1.0,"macd dea_signal over 0 n days_41; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 5.21 ,sma60 5.135166666666667; macd dif less than 0; macd sig great than 0; macd dif less than sig; "
SZ000301,东方盛虹,2021-10-27,29.88,BUY_CHECK; SELL_CHECK; BUY_CHECK; SELL_MUST; BUY_CHECK; ,1.0,"macd historgram over 0 n days_5; sma21 under sma60; close great than 1.2 sma200; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 29.88 ,sma60 28.997666666666664; macd dif less than 0; macd sig less than 0; macd dif great than sig; "
SZ000407,胜利股份,2021-10-27,4.7,SELL_MUST; SELL_CHECK; ,1.0,"SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 4.7 ,sma60 4.5915; macd dif less than 0; macd sig less than 0; macd dif less than sig; "
SZ000531,穗恒运A,2021-10-27,8.0,BUY_CHECK; BUY_EARLY; BUY_EARLY; SELL_MUST; SELL_CHECK; ,5.9,"ma55 near ma21; cross over sma5; cross over sma60; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 8.0 ,sma60 7.945666666666666; macd dif less than 0; macd sig less than 0; macd dif less than sig; "
SZ000543,皖能电力,2021-10-27,4.1,BUY_EARLY; BUY_EARLY; SELL_MUST; SELL_CHECK; ,11.1,"cross over sma5; cross over sma60; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 4.1 ,sma60 3.9505; macd dif less than 0; macd sig less than 0; macd dif less than sig; "
SZ000559,万向钱潮,2021-10-27,5.91,BUY_CHECK; BUY_CHECK; SELL_CHECK; SELL_MUST; BUY_CHECK; ,1.0,"macd historgram over 0 n days_2; ma55 near ma21; sma21 under sma60; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 5.91 ,sma60 5.882499999999999; macd dif less than 0; macd sig less than 0; macd dif great than sig; "
SZ000598,兴蓉环境,2021-10-27,5.7,BUY_CHECK; BUY_CHECK; BUY_CHECK; SELL_MUST; BUY_CHECK; BUY_CHECK; BUY_CHECK; ,2.0,"macd historgram over 0 n days_1; ma55 near ma21; close great than 1.05 sma60; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 5.7 ,sma60 5.360333333333333; macd dif cross over sig; macd cross over 0; macd dif less than 0; macd sig less than 0; macd dif great than sig; "
SZ000600,建投能源,2021-10-27,4.86,BUY_EARLY; BUY_EARLY; SELL_MUST; SELL_CHECK; ,16.4,"cross over sma5; cross over sma60; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 4.86 ,sma60 4.802499999999999; macd dif less than 0; macd sig less than 0; macd dif less than sig; "
