code,name,end_date,n_cashflow_act,net_profit,n_cashflow_inv_act,n_cash_flows_fnc_act,im_net_cashflow_oper_act,accounts_receiv,acct_payable,notes_receiv,oth_receiv,money_cap,r_and_d,goodwill
SZ000001,平安银行,20181231,-57323000000.0,24818000000.0,61382000000.0,19021000000.0,-57323000000.0,0.0,0.0,0.0,0.0,0.0,0.0,7568000000.0
SZ000004,国华网安,20181231,-53310246.02,-21612682.1,-18782779.1,21000000.0,-53310246.02,27268319.8,5633643.29,0.0,922869.52,49003296.32,0.0,0.0
SZ000005,ST星源,20181231,-94794814.73,156748626.08,136252736.9,-55599169.66,-94794814.73,299860362.62,312700668.35,3229635.0,789241575.7,67715990.09,0.0,222436019.95
SZ000008,神州高铁,20181231,-590569355.28,341889698.13,1056120107.94,-412419522.33,-590569355.28,3085112774.27,683222477.97,113794145.05,75208572.79,1228106619.48,7281273.69,3596024272.86
SZ000014,沙河股份,20181231,-118120075.4,154522074.31,184004773.79,-34663284.53,-118120075.4,114644.16,128235044.37,0.0,11647520.02,180659682.5,0.0,0.0
SZ000016,深康佳A,20181231,-3229823872.66,668618421.57,-2251881007.04,5796893326.72,-3229823872.66,4458053586.42,4362723050.33,3329711954.15,406196649.48,4348144129.53,0.0,855691423.75
SZ000017,深中华A,20181231,-9479474.16,-1880505.78,-17293.82,6808378.06,-9479474.16,29007509.02,9979010.69,0.0,844537.19,18488886.26,0.0,0.0
SZ000020,深华发A,20181231,-21894459.66,3295022.72,-13812144.95,-17969442.49,-21894459.66,116797834.51,60975306.43,69185516.71,5777179.08,34108330.27,0.0,0.0
SZ000025,特力A,20181231,-6574979.97,86139979.36,21702682.14,-14073081.66,-6574979.97,86104660.51,73365876.09,0.0,13527117.17,169512260.69,0.0,0.0
SZ000030,富奥股份,20181231,342085550.7,873668594.33,-142536700.72,-93882578.5,342085550.7,1719701694.43,1832453368.26,1388256712.12,168646087.09,1589840102.03,0.0,10421262.66
SZ000031,大悦城,20181231,-1863863180.25,2004363639.06,-2448036742.08,6128161666.59,-1863863180.25,250267835.75,6555729014.01,0.0,22430804672.79,12001294918.79,0.0,133719481.22
SZ000039,中集集团,20181231,140732000.0,4068455000.0,-4401930000.0,9295766000.0,140732000.0,17895919000.0,13210828000.0,1423547000.0,11254553000.0,9729152000.0,99062000.0,1954985000.0
SZ000040,东旭蓝天,20181231,-3833258263.74,1126438186.61,-634283855.51,1944591302.11,-3833258263.74,3297595292.91,5211083645.07,309904124.28,1006390957.04,7480672414.45,2976120.02,970983314.42
SZ000045,深纺织A,20181231,-460494321.15,-62302707.38,170177455.09,263073727.51,-460494321.15,528454015.59,180239452.9,886432.06,9257192.06,1141759374.6,0.0,0.0
SZ000049,德赛电池,20181231,122168482.48,525615431.19,-216818101.37,190156499.13,122168482.48,4151608394.19,4069956037.38,19487097.85,112722161.93,316667878.04,0.0,0.0
SZ000055,方大集团,20181231,387102719.57,2246164571.68,207696266.72,-571597053.4,387102719.57,1920075031.85,1039630798.64,140139692.84,139990188.26,1389062083.76,0.0,0.0
SZ000062,深圳华强,20181231,-26007759.27,769568971.87,-216712604.55,451835725.71,-26007759.27,2499286801.93,361293372.47,276058155.11,33514532.06,1359215331.27,0.0,1848430927.27
SZ000063,中兴通讯,20181231,-9215386000.0,-6949340000.0,-965700000.0,888087000.0,-9215386000.0,21592325000.0,19527404000.0,0.0,1997281000.0,24289798000.0,2732356000.0,186206000.0
SZ000065,北方国际,20181231,182382415.38,617804602.15,-71632224.49,-182391290.25,182382415.38,2376561743.7,4404704312.77,262919413.29,150961495.13,4408053338.16,0.0,5399558.44
SZ000066,中国长城,20181231,44859987.74,1056365601.84,-489704254.66,687872933.07,44859987.74,2967217578.89,2147299726.58,754922504.48,49306392.36,3376391277.69,65681230.31,24144802.73
SZ000069,华侨城A,20181231,-9984217376.99,11294328846.78,-16827947397.41,23371407409.08,-9984217376.99,346487001.2,14066761928.46,52244148.28,30778806176.84,27228304224.55,0.0,87116029.52
