code,ts_code,symbol,name,area,industry,list_date,on_market_days,date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,volume_ratio_perc_rank,total_mv_perc_rank,circ_mv_perc_rank,pe_perc_rank,pe_ttm_perc_rank,ps_ttm_perc_rank,turnover_rate_f_perc_rank,name_x,roe,roa,total_profit,net_profit,free_cashflow,total_revenue,total_assets,total_liab,ebit,ebitda,netdebt,fcff,fcfe,name_year1,roe_year1,roa_year1,total_profit_year1,net_profit_year1,free_cashflow_year1,total_revenue_year1,total_assets_year1,total_liab_year1,ebit_year1,ebitda_year1,netdebt_year1,fcff_year1,fcfe_year1,ev,ev_ebitda_ratio,ev_ebitda_ratio_rank,total_mv_net_profit_ratio,total_mv_net_profit_ratio_rank
SZ000523,000523.SZ,523,*ST浪奇,广东,日用化工,19931108,10348,20220309,3.12,0.6204,0.7572,0.0,0.0,0.0,0.0,1.5024,92.4712,0.0,0.0,161242.0134,157176.9727,128773.0045,503075.0818,490392.1548,0.0,0.4509845437222105,0.5644717340673301,0.0,0.0,0.9974560101759592,0.0205377937751429,*ST浪奇,0.0,-80.4654,-5075945968.43,-5565261447.05,-3138066541.33,3348496175.22,3268754618.02,6941141225.49,-7019620156.72,-6975907656.12,3072493291.23,-3138066541.33,-3026770246.23,*ST浪奇,0.0,-80.4654,-5075945968.43,-5565261447.05,-3138066541.33,3348496175.22,3268754618.02,6941141225.49,-7019620156.72,-6975907656.12,3072493291.23,-3138066541.33,-3026770246.23,8103244109.23,-1.1616042683880687,0.1088770053475935,-0.9039558816534432,0.1291978609625668
SZ000585,000585.SZ,585,*ST东电,海南,电气设备,19951213,9583,20220309,1.29,2.3899,2.7588,0.0,17.6103,0.0,0.0,14.0847,13.7969,0.0,0.0,87337.0,60942.0978,52792.6128,112664.73,78615.3062,0.0,0.0131272496294727,0.0571670548380266,0.1738708110733365,0.0,0.9217723129107483,0.4200719881431293,*ST东电,0.0,21.1839,67016264.41,62665049.16,-281622298.1104,79990887.34,157525808.79,342755130.77,-96313274.62,-83273060.43,-1959164.82,-281622298.1104,-292122298.1104,*ST东电,0.0,21.1839,67016264.41,62665049.16,-281622298.1104,79990887.34,157525808.79,342755130.77,-96313274.62,-83273060.43,-1959164.82,-281622298.1104,-292122298.1104,1124688135.18,-13.506026191092396,0.0840641711229946,17.978878419505897,0.306096256684492
SZ000673,000673.SZ,673,*ST当代,山西,影视音像,19970124,9175,20220309,1.97,1.0861,1.5982,0.0,63.013,28.1572,0.0,7.4675,7.4239,0.0,0.0,78960.4108,78951.0358,53656.4804,155552.0093,155533.5405,0.0,0.0321829345754816,0.1748888418378149,0.7153958232151529,0.4337288563494067,0.7996608013567946,0.1352953631166631,*ST当代,0.0,5.3563,12236741.84,21440011.22,-89997664.14,208306051.83,1528333326.17,1597219498.26,-128554850.58,-103805074.48,536808790.31,-89997664.14,-101299202.14,*ST当代,0.0,5.3563,12236741.84,21440011.22,-89997664.14,208306051.83,1528333326.17,1597219498.26,-128554850.58,-103805074.48,536808790.31,-89997664.14,-101299202.14,2092328883.31,-20.15632563043078,0.0710160427807486,72.55220517557174,0.8027807486631016
SZ000687,000687.SZ,687,*ST华讯,深圳,通信设备,19970221,9147,20220309,1.34,2.0261,3.5208,0.0,0.0,0.0,0.0,21.9872,26.4482,0.0,0.0,76619.9362,75286.4376,43324.0244,102670.7145,100883.8264,0.0,0.0101630319712047,0.0918907474063095,0.0,0.0,0.9760440958236168,0.5665890323946644,*ST华讯,0.0,-70.715,-1084865122.87,-1084872358.24,127142392.29,46695682.92,998665429.35,2467015597.14,-513820333.14,-476347304.98,1000111650.72,127142392.29,64234114.14,*ST华讯,0.0,-70.715,-1084865122.87,-1084872358.24,127142392.29,46695682.92,998665429.35,2467015597.14,-513820333.14,-476347304.98,1000111650.72,127142392.29,64234114.14,2026818795.72,-4.254918154318304,0.1033155080213903,-0.9463852011730098,0.1287700534759358
SZ000707,000707.SZ,707,*ST双环,湖北,化工原料,19970415,9094,20220309,9.61,5.4151,7.2311,0.0,0.0,0.0,15.3999,2.4991,1.814,0.0,0.0,46414.5765,46414.4265,34758.1055,446044.0802,446042.6387,0.0,0.4016514926953207,0.5312301503281812,0.0,0.0,0.3046427814288743,0.8445903027736608,*ST双环,0.0,-10.304,-480793906.91,-480825650.13,-156807461.36,1784818189.65,3032609512.77,3328097193.37,-401450233.77,-134224841.04,2429830658.89,-156807461.36,-191178461.36,*ST双环,0.0,-10.304,-480793906.91,-480825650.13,-156807461.36,1784818189.65,3032609512.77,3328097193.37,-401450233.77,-134224841.04,2429830658.89,-156807461.36,-191178461.36,6890271460.889999,-51.3338023535945,0.0410695187165775,-9.276628234774993,0.0806417112299465
SZ000820,000820.SZ,820,*ST节能,江西,环境保护,19980630,8653,20220309,3.29,2.7852,2.7852,0.0,0.0,1.1673,33.0103,1261.0577,0.0,0.0,0.0,63724.5222,28765.617,28765.617,209653.678,94638.8799,0.0,0.0891382595807749,0.0825746347660385,0.0,0.0007573844988639,0.0,0.424306584797798,*ST节能,0.0,-888.8147,-362986552.32,-362986552.32,222899524.51,1662522.48,13420893.22,2393555551.85,-278813581.43,-255821725.41,729665899.52,222899524.51,220044690.69,*ST节能,0.0,-888.8147,-362986552.32,-362986552.32,222899524.51,1662522.48,13420893.22,2393555551.85,-278813581.43,-255821725.41,729665899.52,222899524.51,220044690.69,2826202679.5200005,-11.047547564580396,0.0881283422459893,-5.775797385881517,0.0988235294117647
SZ000835,000835.SZ,835,*ST长动,四川,影视音像,19990625,8293,20220309,1.32,4.4829,5.4578,0.0,0.0,0.0,0.0,77.024,0.0,0.0,0.0,32676.0374,30289.5,24879.0972,43132.3694,39982.14,0.0,0.0004234596654668,0.0082574634766038,0.0,0.0,0.0,0.7660385348295575,*ST长动,0.0,-41.7665,-203250104.02,-203212413.13,173452010.51,5599862.14,447039558.09,1027703754.46,-47904443.91,-23895052.76,631690796.41,173452010.51,177952010.51,*ST长动,0.0,-41.7665,-203250104.02,-203212413.13,173452010.51,5599862.14,447039558.09,1027703754.46,-47904443.91,-23895052.76,631690796.41,173452010.51,177952010.51,1063014490.41,-44.4868023974181,0.0444919786096256,-2.1225263130164773,0.1229946524064171
SZ000980,000980.SZ,980,*ST众泰,浙江,汽车配件,20000616,7936,20220309,3.45,1.2633,1.3702,0.0,0.0,0.0,0.0,13.0691,18.0513,0.0,0.0,506917.822,428745.1645,395294.214,1748866.4859,1479170.8175,0.0,0.8107135295363117,0.8301926741477874,0.0,0.0,0.9525121899512402,0.0937963159009104,*ST众泰,-1104.6373,-67.2203,-10400372830.3,-10803944675.54,-3940578868.46,1338170049.27,9584531801.35,14000763296.52,-9014929058.06,-8340238276.07,5347876456.25,-3940578868.46,-4034618868.46,*ST众泰,-1104.6373,-67.2203,-10400372830.3,-10803944675.54,-3940578868.46,1338170049.27,9584531801.35,14000763296.52,-9014929058.06,-8340238276.07,5347876456.25,-3940578868.46,-4034618868.46,22836541315.25,-2.7381161735838075,0.1065240641711229,-1.618729582963723,0.1244919786096256
SZ002072,002072.SZ,2072,*ST凯瑞,湖北,商贸代理,20061018,5621,20220309,5.06,1.0613,1.1454,0.0,0.0,0.0,0.0,70.1699,75.4622,0.0,0.0,36768.0,36768.0,34068.62,186046.08,186046.08,0.0,0.0601312724962947,0.2182934575481685,0.0,0.0,0.9963960144159424,0.0589667584162608,*ST凯瑞,0.0,-36.7414,-197616356.67,-202331476.92,1450772.87,26513668.41,403056088.75,577439381.84,-193656062.54,-193656062.54,232572939.26,1450772.87,1450772.87,*ST凯瑞,0.0,-36.7414,-197616356.67,-202331476.92,1450772.87,26513668.41,403056088.75,577439381.84,-193656062.54,-193656062.54,232572939.26,1450772.87,1450772.87,2093033739.26,-10.807994915355051,0.0883422459893048,-9.195113030957655,0.0814973262032085
SZ002076,002076.SZ,2076,ST雪莱,广东,家用电器,20061025,5614,20220309,1.59,2.2701,2.725,0.0,27.9681,152.3541,0.0,3.6603,5.3455,0.0,0.0,76957.1569,74508.9261,62069.636,122361.8795,118469.1925,0.0,0.0154562777895405,0.1172983273343214,0.3637688198154444,0.9363797020954304,0.7063811744753021,0.4120262544992589,ST雪莱,0.0,12.4788,45038622.54,43921826.32,9424431.4774,334296653.42,692884010.53,722776750.64,39810337.91,52801329.52,292790819.78,9424431.4774,-3932254.3526,ST雪莱,0.0,12.4788,45038622.54,43921826.32,9424431.4774,334296653.42,692884010.53,722776750.64,39810337.91,52801329.52,292790819.78,9424431.4774,-3932254.3526,1516409614.78,28.71915591075442,0.6607486631016043,27.85901447005221,0.4620320855614973
SZ002147,002147.SZ,2147,*ST新光,安徽,区域地产,20070808,5327,20220309,4.71,2.1159,2.1159,0.0,0.0,0.0,19.6511,5.1574,4.7316,0.0,0.0,182807.6415,53557.3153,53557.3153,861023.9915,252254.9551,0.0,0.6508575058225704,0.3260639424094855,0.0,0.0,0.6620733517065932,0.2663561295786576,*ST新光,-295.2322,-22.6968,-3206267938.07,-3264512381.89,177951866.65,1669479232.92,11052093963.6,11264715856.48,-1787763766.58,-1577444137.88,2986507713.93,177951866.65,98327758.06,*ST新光,-295.2322,-22.6968,-3206267938.07,-3264512381.89,177951866.65,1669479232.92,11052093963.6,11264715856.48,-1787763766.58,-1577444137.88,2986507713.93,177951866.65,98327758.06,11596747628.93,-7.351605898713728,0.095187165775401,-2.63752711209356,0.1195721925133689
