name,code,industry_name_L1_L2_L3
深粮控股,SZ000019,农产品加工_农林牧渔_农产品加工_粮油加工
京粮控股,SZ000505,农产品加工_农林牧渔_农产品加工_粮油加工
西王食品,SZ000639,食品加工制造_农林牧渔_农产品加工_粮油加工
正虹科技,SZ000702,农产品加工_农林牧渔_饲料_畜禽饲料
丰乐种业,SZ000713,种植业与林业_农林牧渔_种植业_种子
罗牛山,SZ000735,养殖业_农林牧渔_养殖业_生猪养殖
新希望,SZ000876,农产品加工_农林牧渔_养殖业_生猪养殖
南宁糖业,SZ000911,农产品加工_农林牧渔_农产品加工_其他农产品加工
中粮科技,SZ000930,农产品加工_农林牧渔_农产品加工_其他农产品加工
*ST中基,SZ000972,综合_农林牧渔_农产品加工_果蔬加工
隆平高科,SZ000998,种植业与林业_农林牧渔_种植业_种子
东瑞股份,SZ001201,养殖业_农林牧渔_养殖业_生猪养殖
登海种业,SZ002041,种植业与林业_农林牧渔_种植业_种子
獐子岛,SZ002069,养殖业_农林牧渔_渔业_水产养殖
ST东洋,SZ002086,养殖业_农林牧渔_渔业_水产养殖
天康生物,SZ002100,农产品加工_农林牧渔_饲料_畜禽饲料
天邦股份,SZ002124,养殖业_农林牧渔_养殖业_生猪养殖
正邦科技,SZ002157,养殖业_农林牧渔_养殖业_生猪养殖
民和股份,SZ002234,养殖业_农林牧渔_养殖业_肉鸡养殖
保龄宝,SZ002286,农产品加工_农林牧渔_农产品加工_其他农产品加工
圣农发展,SZ002299,养殖业_农林牧渔_养殖业_肉鸡养殖
大北农,SZ002385,农产品加工_农林牧渔_饲料_畜禽饲料
益生股份,SZ002458,养殖业_农林牧渔_养殖业_肉鸡养殖
双塔食品,SZ002481,农产品加工_农林牧渔_农产品加工_其他农产品加工
金新农,SZ002548,农产品加工_农林牧渔_饲料_畜禽饲料
唐人神,SZ002567,农产品加工_农林牧渔_饲料_畜禽饲料
克明食品,SZ002661,农产品加工_农林牧渔_农产品加工_其他农产品加工
金河生物,SZ002688,农业服务_农林牧渔_动物保健Ⅱ_动物保健Ⅲ
百洋股份,SZ002696,农产品加工_农林牧渔_渔业_水产养殖
牧原股份,SZ002714,养殖业_农林牧渔_养殖业_生猪养殖
仙坛股份,SZ002746,养殖业_农林牧渔_养殖业_肉鸡养殖
道道全,SZ002852,农产品加工_农林牧渔_农产品加工_粮油加工
绿康生化,SZ002868,农业服务_农林牧渔_动物保健Ⅱ_动物保健Ⅲ
湘佳股份,SZ002982,养殖业_农林牧渔_养殖业_肉鸡养殖
祖名股份,SZ003030,农产品加工_农林牧渔_农产品加工_其他农产品加工
荃银高科,SZ300087,种植业与林业_农林牧渔_种植业_种子
国联水产,SZ300094,养殖业_农林牧渔_渔业_水产养殖
瑞普生物,SZ300119,农业服务_农林牧渔_动物保健Ⅱ_动物保健Ⅲ
晨光生物,SZ300138,农产品加工_农林牧渔_农产品加工_其他农产品加工
朗源股份,SZ300175,农产品加工_农林牧渔_农产品加工_果蔬加工
神农科技,SZ300189,种植业与林业_农林牧渔_种植业_种子
佳沃食品,SZ300268,农产品加工_农林牧渔_农产品加工_其他农产品加工
温氏股份,SZ300498,养殖业_农林牧渔_养殖业_生猪养殖
立华股份,SZ300761,养殖业_农林牧渔_养殖业_肉鸡养殖
回盛生物,SZ300871,农业服务_农林牧渔_动物保健Ⅱ_动物保健Ⅲ
晓鸣股份,SZ300967,养殖业_农林牧渔_养殖业_肉鸡养殖
金龙鱼,SZ300999,农产品加工_农林牧渔_农产品加工_粮油加工
亚盛集团,SH600108,种植业与林业_农林牧渔_种植业_其他种植业
金健米业,SH600127,农产品加工_农林牧渔_农产品加工_粮油加工
*ST华资,SH600191,农产品加工_农林牧渔_农产品加工_其他农产品加工
中牧股份,SH600195,农业服务_农林牧渔_动物保健Ⅱ_动物保健Ⅲ
生物股份,SH600201,农业服务_农林牧渔_动物保健Ⅱ_动物保健Ⅲ
冠农股份,SH600251,农产品加工_农林牧渔_农产品加工_果蔬加工
大湖股份,SH600257,养殖业_农林牧渔_渔业_水产养殖
*ST昌鱼,SH600275,养殖业_农林牧渔_渔业_水产养殖
农发种业,SH600313,种植业与林业_农林牧渔_种植业_种子
敦煌种业,SH600354,种植业与林业_农林牧渔_种植业_种子
新农开发,SH600359,种植业与林业_农林牧渔_种植业_其他种植业
万向德农,SH600371,种植业与林业_农林牧渔_种植业_种子
好当家,SH600467,养殖业_农林牧渔_渔业_水产养殖
*ST香梨,SH600506,种植业与林业_农林牧渔_种植业_其他种植业
新赛股份,SH600540,种植业与林业_农林牧渔_种植业_其他种植业
中粮糖业,SH600737,农产品加工_农林牧渔_农产品加工_其他农产品加工
国投中鲁,SH600962,饮料制造_农林牧渔_农产品加工_果蔬加工
新五丰,SH600975,养殖业_农林牧渔_养殖业_生猪养殖
海南橡胶,SH601118,种植业与林业_农林牧渔_种植业_其他种植业
宏辉果蔬,SH603336,农产品加工_农林牧渔_种植业_其他种植业
傲农生物,SH603363,农产品加工_农林牧渔_饲料_畜禽饲料
普莱柯,SH603566,农业服务_农林牧渔_动物保健Ⅱ_动物保健Ⅲ
禾丰股份,SH603609,农产品加工_农林牧渔_饲料_畜禽饲料
海利生物,SH603718,农业服务_农林牧渔_动物保健Ⅱ_动物保健Ⅲ
蔚蓝生物,SH603739,农业服务_农林牧渔_动物保健Ⅱ_动物保健Ⅲ
德利股份,SH605198,饮料制造_农林牧渔_农产品加工_果蔬加工
神农集团,SH605296,养殖业_农林牧渔_养殖业_生猪养殖
