name,code,industry_name_L1_L2_L3
*ST天首,SZ000611,综合_纺织服装_纺织制造_其他纺织
鲁泰A,SZ000726,纺织制造_纺织服装_纺织制造_棉纺
华茂股份,SZ000850,纺织制造_纺织服装_纺织制造_棉纺
欣龙控股,SZ000955,纺织制造_纺织服装_纺织制造_其他纺织
中银绒业,SZ000982,纺织制造_纺织服装_纺织制造_其他纺织
洪兴股份,SZ001209,服装家纺_纺织服装_服装家纺_其他服装
伟星股份,SZ002003,纺织制造_纺织服装_纺织制造_辅料
ST中捷,SZ002021,专用设备_机械设备_专用设备_纺织服装设备
七匹狼,SZ002029,服装家纺_纺织服装_服装家纺_男装
华孚时尚,SZ002042,纺织制造_纺织服装_纺织制造_棉纺
孚日股份,SZ002083,纺织制造_纺织服装_纺织制造_棉纺
新野纺织,SZ002087,纺织制造_纺织服装_纺织制造_棉纺
浔兴股份,SZ002098,纺织制造_纺织服装_纺织制造_辅料
宏达高科,SZ002144,纺织制造_纺织服装_纺织制造_其他纺织
报喜鸟,SZ002154,服装家纺_纺织服装_服装家纺_男装
如意集团,SZ002193,服装家纺_纺织服装_纺织制造_毛纺
美邦服饰,SZ002269,服装家纺_纺织服装_服装家纺_休闲服装
星期六,SZ002291,服装家纺_纺织服装_服装家纺_鞋帽
罗莱生活,SZ002293,服装家纺_纺织服装_服装家纺_家纺
富安娜,SZ002327,服装家纺_纺织服装_服装家纺_家纺
联发股份,SZ002394,纺织制造_纺织服装_纺织制造_棉纺
梦洁股份,SZ002397,服装家纺_纺织服装_服装家纺_家纺
嘉欣丝绸,SZ002404,纺织制造_纺织服装_纺织制造_丝绸
雪松发展,SZ002485,景点及旅游_纺织服装_服装家纺_男装
嘉麟杰,SZ002486,服装家纺_纺织服装_服装家纺_其他服装
华斯股份,SZ002494,服装家纺_纺织服装_服装家纺_其他服装
搜于特,SZ002503,服装家纺_纺织服装_服装家纺_休闲服装
森马服饰,SZ002563,服装家纺_纺织服装_服装家纺_休闲服装
ST步森,SZ002569,服装家纺_纺织服装_服装家纺_男装
朗姿股份,SZ002612,服装家纺_纺织服装_服装家纺_女装
棒杰股份,SZ002634,服装家纺_纺织服装_服装家纺_其他服装
ST摩登,SZ002656,服装家纺_纺织服装_服装家纺_男装
兴业科技,SZ002674,纺织制造_纺织服装_纺织制造_辅料
乔治白,SZ002687,服装家纺_纺织服装_服装家纺_男装
金轮股份,SZ002722,专用设备_机械设备_专用设备_纺织服装设备
金发拉比,SZ002762,服装家纺_纺织服装_服装家纺_其他服装
汇洁股份,SZ002763,服装家纺_纺织服装_服装家纺_其他服装
ST柏龙,SZ002776,服装家纺_纺织服装_服装家纺_休闲服装
三夫户外,SZ002780,服装家纺_纺织服装_服装家纺_其他服装
比音勒芬,SZ002832,服装家纺_纺织服装_服装家纺_其他服装
安奈儿,SZ002875,服装家纺_纺织服装_服装家纺_其他服装
欣贺股份,SZ003016,服装家纺_纺织服装_服装家纺_女装
泰坦股份,SZ003036,专用设备_机械设备_专用设备_纺织服装设备
真爱美家,SZ003041,服装家纺_纺织服装_服装家纺_家纺
探路者,SZ300005,服装家纺_纺织服装_服装家纺_其他服装
慈星股份,SZ300307,专用设备_机械设备_专用设备_纺织服装设备
中潜股份,SZ300526,服装家纺_纺织服装_服装家纺_其他服装
开润股份,SZ300577,纺织制造_纺织服装_纺织制造_其他纺织
万里马,SZ300591,服装家纺_纺织服装_服装家纺_鞋帽
延江股份,SZ300658,纺织制造_纺织服装_纺织制造_其他纺织
聚杰微纤,SZ300819,纺织制造_纺织服装_纺织制造_其他纺织
酷特智能,SZ300840,服装家纺_纺织服装_服装家纺_男装
金春股份,SZ300877,纺织制造_纺织服装_纺织制造_其他纺织
稳健医疗,SZ300888,纺织制造_纺织服装_纺织制造_棉纺
中胤时尚,SZ300901,服装家纺_纺织服装_服装家纺_鞋帽
南山智尚,SZ300918,服装家纺_纺织服装_服装家纺_男装
恒辉安防,SZ300952,纺织制造_纺织服装_服装家纺_其他服装
华利集团,SZ300979,服装家纺_纺织服装_服装家纺_鞋帽
美尔雅,SH600107,服装家纺_纺织服装_服装家纺_男装
浪莎股份,SH600137,服装家纺_纺织服装_服装家纺_其他服装
*ST环球,SH600146,服装家纺_纺织服装_服装家纺_女装
华升股份,SH600156,纺织制造_纺织服装_纺织制造_其他纺织
江苏阳光,SH600220,纺织制造_纺织服装_纺织制造_毛纺
金鹰股份,SH600232,专用设备_纺织服装_纺织制造_丝绸
标准股份,SH600302,专用设备_机械设备_专用设备_纺织服装设备
三房巷,SH600370,化工合成材料_纺织服装_纺织制造_印染
海澜之家,SH600398,服装家纺_纺织服装_服装家纺_男装
红豆股份,SH600400,服装家纺_纺织服装_服装家纺_男装
华纺股份,SH600448,纺织制造_纺织服装_纺织制造_印染
凤竹纺织,SH600493,纺织制造_纺织服装_纺织制造_棉纺
卓郎智能,SH600545,专用设备_机械设备_专用设备_纺织服装设备
龙头股份,SH600630,服装家纺_纺织服装_服装家纺_其他服装
上海三毛,SH600689,纺织制造_纺织服装_纺织制造_毛纺
益民集团,SH600824,服装家纺_纺织服装_服装家纺_其他服装
上工申贝,SH600843,专用设备_机械设备_专用设备_纺织服装设备
航民股份,SH600987,纺织制造_纺织服装_纺织制造_印染
百隆东方,SH601339,纺织制造_纺织服装_纺织制造_棉纺
九牧王,SH601566,服装家纺_纺织服装_服装家纺_男装
际华集团,SH601718,服装家纺_纺织服装_服装家纺_其他服装
奥康国际,SH603001,服装家纺_纺织服装_服装家纺_鞋帽
台华新材,SH603055,纺织制造_纺织服装_纺织制造_其他纺织
越剑智能,SH603095,专用设备_机械设备_专用设备_纺织服装设备
红蜻蜓,SH603116,服装家纺_纺织服装_服装家纺_鞋帽
*ST拉夏,SH603157,服装家纺_纺织服装_服装家纺_女装
日播时尚,SH603196,服装家纺_纺织服装_服装家纺_女装
诺邦股份,SH603238,纺织制造_纺织服装_纺织制造_其他纺织
水星家纺,SH603365,服装家纺_纺织服装_服装家纺_家纺
巨星农牧,SH603477,养殖业_纺织服装_纺织制造_辅料
爱慕股份,SH603511,服装家纺_纺织服装_服装家纺_其他服装
锦泓集团,SH603518,服装家纺_纺织服装_服装家纺_女装
ST贵人,SH603555,服装家纺_纺织服装_服装家纺_休闲服装
ST起步,SH603557,服装家纺_纺织服装_服装家纺_鞋帽
健盛集团,SH603558,服装家纺_纺织服装_服装家纺_其他服装
地素时尚,SH603587,服装家纺_纺织服装_服装家纺_女装
天创时尚,SH603608,服装家纺_纺织服装_服装家纺_鞋帽
康隆达,SH603665,服装家纺_纺织服装_服装家纺_其他服装
歌力思,SH603808,服装家纺_纺织服装_服装家纺_女装
安正时尚,SH603839,服装家纺_纺织服装_服装家纺_女装
太平鸟,SH603877,服装家纺_纺织服装_服装家纺_休闲服装
新澳股份,SH603889,纺织制造_纺织服装_纺织制造_毛纺
牧高笛,SH603908,服装家纺_纺织服装_服装家纺_其他服装
哈森股份,SH603958,服装家纺_纺织服装_服装家纺_鞋帽
众望布艺,SH605003,纺织制造_纺织服装_服装家纺_家纺
迎丰股份,SH605055,纺织制造_纺织服装_纺织制造_印染
浙江自然,SH605080,服装家纺_纺织服装_纺织制造_其他纺织
华生科技,SH605180,纺织制造_纺织服装_纺织制造_其他纺织
富春染织,SH605189,纺织制造_纺织服装_纺织制造_棉纺
