code,name,roe_pe,roe,pe_ttm
SZ000962,东方钽业,0.09,4.1393,46.5651
SH688090,瑞松科技,0.09,6.9206,73.1497
SH603317,天味食品,0.09,13.0761,151.5435
SZ000831,五矿稀土,0.09,11.9119,134.6498
SH600859,王府井,0.09,3.3782,39.339
SZ300691,联合光电,0.09,5.3777,60.0759
SZ300238,冠昊生物,0.09,6.464,68.3174
SH688133,泰坦科技,0.09,10.2677,113.2588
SZ000878,云南铜业,0.09,4.5815,50.5215
SH603767,中马传动,0.09,3.7977,42.3627
SZ000722,湖南发展,0.09,3.2574,35.3087
SZ000688,国城矿业,0.09,6.469,70.8445
SH688599,天合光能,0.09,9.0931,96.9837
SZ300505,川金诺,0.09,4.2027,48.7142
SH603093,南华期货,0.09,3.8564,41.8796
SZ300483,首华燃气,0.09,4.472,48.2202
SZ000514,渝开发,0.09,4.0293,45.5991
SZ300468,四方精创,0.09,6.5749,69.7644
SH603123,翠微股份,0.09,2.3866,27.7658
SZ300516,久之洋,0.09,6.1676,72.5335
SH688556,高测股份,0.09,8.5433,91.2215
SZ000593,大通燃气,0.09,3.5571,37.7477
SZ300429,强力新材,0.09,5.1477,60.2234
SZ000632,三木集团,0.09,3.4418,36.549
SZ000680,山推股份,0.09,2.9137,30.9585
SH688086,紫晶存储,0.09,7.5518,85.1942
SH600095,湘财股份,0.09,6.2224,73.1279
SH603220,中贝通信,0.09,3.5314,40.1937
SH600101,明星电力,0.09,2.933,32.3904
SH688088,虹软科技,0.09,9.6823,103.6876
SZ300149,睿智医药,0.09,6.549,74.5511
SZ002899,英派斯,0.09,3.7162,43.6675
SH600480,凌云股份,0.09,2.1639,25.4249
SZ002303,美盈森,0.09,3.8907,45.2252
SH600268,国电南自,0.09,2.7829,31.024
SZ300803,指南针,0.09,8.0735,87.8994
SZ002842,翔鹭钨业,0.09,4.2622,49.5916
SZ002413,雷科防务,0.09,4.4948,49.1633
SZ002449,国星光电,0.09,2.7946,32.1521
SH603667,五洲新春,0.09,3.5204,37.6917
SH603668,天马科技,0.09,5.8315,61.4781
SH601101,昊华能源,0.09,0.664,7.5581
SZ000995,皇台酒业,0.09,29.8056,350.5717
SZ002455,百川股份,0.09,4.8095,50.7637
SZ002467,二六三,0.09,15.7208,177.5046
SZ002524,光正眼科,0.09,7.022,79.121
SZ002527,新时达,0.09,3.2314,36.8103
SZ300830,金现代,0.09,7.4514,87.3598
SZ002561,徐家汇,0.09,3.3429,37.1997
SH603738,泰晶科技,0.09,4.9565,57.875
SH600371,万向德农,0.09,10.91,120.5515
SZ002895,川恒股份,0.09,5.7811,62.2684
SZ002730,电光科技,0.09,5.7244,61.8349
SZ002912,中新赛克,0.09,15.1327,164.5239
SH603496,恒为科技,0.09,4.5029,47.6658
SH688028,沃尔德,0.09,5.7922,64.5255
SH600189,泉阳泉,0.09,5.7388,64.08
SH600190,锦州港,0.09,2.9198,32.9223
SZ002654,万润科技,0.09,4.0061,46.6167
SZ002079,苏州固锝,0.09,4.9839,55.9814
SZ002090,金智科技,0.09,4.9241,53.3144
SZ002301,齐心集团,0.09,5.8826,66.889
SH600215,长春经开,0.09,3.296,37.0438
SH600619,海立股份,0.09,3.6032,38.3777
SZ300039,上海凯宝,0.09,4.123,44.3189
SZ002112,三变科技,0.09,8.1586,90.475
SH600552,凯盛科技,0.09,4.8073,52.3555
SZ300793,佳禾智能,0.09,5.6523,63.443
SH603569,长久物流,0.09,4.7825,50.5836
SZ002955,鸿合科技,0.09,2.7504,31.607
SZ300703,创源股份,0.08,7.2636,85.8262
SZ300620,光库科技,0.08,5.811,68.7777
SZ300549,优德精密,0.08,4.3943,58.5225
SZ300594,朗进科技,0.08,10.1565,128.9017
SZ300550,和仁科技,0.08,5.036,66.1726
SZ300675,建科院,0.08,9.0152,107.6067
SH600821,金开新能,0.08,3.5545,46.8239
SZ300480,光力科技,0.08,7.8625,98.5274
SZ002612,朗姿股份,0.08,4.7831,58.4243
SZ000534,万泽股份,0.08,7.8789,100.9412
SH688377,迪威尔,0.08,7.197,88.6818
SH688366,昊海生科,0.08,4.2039,53.2292
SZ000829,天音控股,0.08,7.4998,93.1745
SZ000925,众合科技,0.08,2.3085,30.3832
SZ000973,佛塑科技,0.08,2.9805,38.6591
SZ002246,北化股份,0.08,3.5093,46.7904
SZ002277,友阿股份,0.08,2.0268,24.345
SH603976,正川股份,0.08,5.1099,62.8299
SZ002370,亚太药业,0.08,4.2173,55.9908
SH603933,睿能科技,0.08,2.4315,31.5654
SZ002425,凯撒文化,0.08,2.9852,38.2206
SH603881,数据港,0.08,6.8351,88.8885
SZ002549,凯美特气,0.08,7.4118,94.4312
SZ002628,成都路桥,0.08,2.8919,36.1309
SZ300475,香农芯创,0.08,4.9198,59.9721
SZ002669,康达新材,0.08,9.6209,124.2039
SH603709,中源家居,0.08,6.6622,84.7599
SZ002722,金轮股份,0.08,1.7714,21.3231
SZ002787,华源控股,0.08,2.9923,39.1045
SH603618,杭电股份,0.08,4.3863,51.9592
SZ300047,天源迪科,0.08,4.1132,50.2255
SH603429,集友股份,0.08,6.0324,75.6867
SH603379,三美股份,0.08,4.466,55.9841
SZ300224,正海磁材,0.08,5.0916,64.9125
SH603332,苏州龙杰,0.08,2.6441,32.2046
SZ300251,光线传媒,0.08,3.2442,43.0146
SH603308,应流股份,0.08,5.4662,69.6281
SZ300409,道氏技术,0.08,2.4452,31.9847
SZ300456,赛微电子,0.08,6.8265,86.0978
SZ300743,天地数码,0.08,5.8017,69.6203
SZ300767,震安科技,0.08,15.48,206.3724
SZ300750,宁德时代,0.08,10.9111,142.5501
SH600235,民丰特纸,0.08,3.675,43.5237
SH600516,方大炭素,0.08,3.5761,42.145
SZ300895,铜牛信息,0.08,5.8035,75.0341
SH600783,鲁信创投,0.08,9.0761,110.3388
SH600103,青山纸业,0.08,2.1224,27.4231
SH600560,金自天正,0.08,4.8035,57.8991
SH600883,博闻科技,0.08,3.4943,44.1078
SH600066,宇通客车,0.08,3.1392,39.3853
SH601588,北辰实业,0.08,1.5746,18.6316
SH601778,晶科科技,0.08,4.9241,58.8672
SH600896,*ST海医,0.07,3.1918,47.1736
SH688050,爱博医疗,0.07,9.0425,137.5348
SH688536,思瑞浦,0.07,13.1621,199.5807
SH688030,山石网科,0.07,4.2958,58.3591
SZ000570,苏常柴A,0.07,2.3919,34.7549
SH688020,方邦股份,0.07,7.6131,102.8263
SH688018,乐鑫科技,0.07,6.4013,86.8481
SH600834,申通地铁,0.07,4.8967,72.3442
SH600230,沧州大化,0.07,1.0382,14.8892
SH600583,海油工程,0.07,1.6036,23.8377
SH603027,千禾味业,0.07,11.7923,170.5745
SZ000590,启迪药业,0.07,3.5867,49.4029
SZ300040,九洲集团,0.07,3.2045,45.9292
SZ002132,恒星科技,0.07,4.4415,63.7688
SH603022,新通联,0.07,5.4847,79.7514
SH603315,福鞍股份,0.07,7.3849,104.553
SH688095,福昕软件,0.07,6.9276,105.0433
SH601616,广电电气,0.07,2.8895,43.8247
SZ000738,航发控制,0.07,6.3187,84.7194
SH600765,中航重机,0.07,5.355,74.1912
SH600072,中船科技,0.07,3.6755,49.7541
SH603105,芯能科技,0.07,5.4219,73.1255
SZ300391,康跃科技,0.07,3.3,44.4448
SZ300359,全通教育,0.07,7.6964,106.7361
SH603221,爱丽家居,0.07,7.3361,102.4336
SZ000860,顺鑫农业,0.07,5.5358,76.5088
SH600255,鑫科材料,0.07,5.5185,79.1692
SH688138,清溢光电,0.07,6.6295,94.9431
SZ300902,国安达,0.07,10.6587,149.3195
SZ300291,华录百纳,0.07,3.3611,45.0729
SZ300275,梅安森,0.07,5.1888,79.4819
SZ000893,亚钾国际,0.07,1.6184,23.2983
SZ300267,尔康制药,0.07,3.5092,49.9046
SH600118,中国卫星,0.07,6.0785,90.367
SZ002933,新兴装备,0.07,6.3071,92.8808
SZ300827,上能电气,0.07,12.3329,186.4176
SH601600,中国铝业,0.07,1.3597,18.8576
SH601116,三江购物,0.07,3.8548,57.3317
SH603909,合诚股份,0.07,5.7346,80.1245
SZ002819,东方中科,0.07,10.2336,153.3362
SH600379,宝光股份,0.07,8.2852,114.4177
SZ002285,世联行,0.07,2.1173,28.3448
SZ002827,高争民爆,0.07,4.8223,69.8564
SZ002390,信邦制药,0.07,3.5574,52.4733
SZ300667,必创科技,0.07,5.0851,71.559
SZ002234,民和股份,0.07,2.4883,34.8819
SH600986,浙文互联,0.07,2.6248,39.8864
SH688608,恒玄科技,0.07,6.5934,91.6822
SZ300805,电声股份,0.07,8.5534,127.8773
SH601020,ST华钰,0.07,3.0772,43.5652
SH600792,云煤能源,0.07,1.7432,23.6711
SH600281,华阳新材,0.07,8.2241,115.6666
SZ002850,科达利,0.07,5.5138,82.0219
SH601901,方正证券,0.07,2.8053,41.5783
SZ002232,启明信息,0.07,10.2108,146.1229
SZ002886,沃特股份,0.07,7.1808,102.5588
SZ300635,中达安,0.07,4.6562,70.6463
SZ002190,成飞集成,0.07,4.7053,70.4115
SZ002490,山东墨龙,0.07,1.8241,26.9989
SZ002756,永兴材料,0.07,6.9556,95.2272
SZ002745,木林森,0.07,2.6462,40.3443
SZ002253,川大智胜,0.07,4.7645,68.9206
SH600353,旭光电子,0.06,4.7538,83.9764
SZ300298,三诺生物,0.06,6.944,125.7597
SZ300329,海伦钢琴,0.06,3.2385,52.8389
SZ000795,英洛华,0.06,4.4028,80.0121
SH688218,江苏北人,0.06,3.5207,56.7269
SZ002627,三峡旅游,0.06,2.1791,37.0961
