code,name,end_date,n_cashflow_act,net_profit,n_cashflow_inv_act,n_cash_flows_fnc_act,im_net_cashflow_oper_act,accounts_receiv,acct_payable,notes_receiv,oth_receiv,money_cap,r_and_d,goodwill
SZ000001,平安银行,20211231,-192733000000.0,36336000000.0,-40455000000.0,181064000000.0,-192733000000.0,0.0,0.0,0.0,0.0,0.0,0.0,7568000000.0
SZ000045,深纺织A,20211231,-4436980.35,75114666.2,-258529444.37,288274035.87,-4436980.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000062,深圳华强,20211231,-931589530.64,1042688962.25,-432189461.87,1988285345.49,-931589530.64,4784320610.55,788232163.59,36992693.57,47942847.54,2537721584.75,0.0,1848430927.27
SZ000068,华控赛格,20211231,-20384186.38,-118303710.49,-1247967.36,-165577801.89,-20384186.38,467991300.9,606481157.8,14333263.21,20524143.78,295146261.45,0.0,1088001.71
SZ000509,*ST华塑,20211231,-141614920.85,-1641143.91,-96355473.26,107894815.72,-141614920.85,67486361.62,111554838.29,0.0,9506582.0,28895248.01,0.0,24014575.17
SZ000803,北清环能,20211231,-118765879.93,83565171.41,-371522538.38,728469395.89,-118765879.93,132752943.38,240540803.76,0.0,14581005.54,323641316.96,6524541.19,366654800.71
SZ002323,*ST雅博,20211231,-102400612.55,-984737902.66,103296726.38,720512765.72,-102400612.55,46128854.43,54814481.99,0.0,86859837.05,723358610.32,0.0,0.0
SZ002324,普利特,20211231,-136484707.78,21004177.86,77802936.46,150929987.43,-136484707.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ002379,宏创控股,20211231,-52194831.84,-75150880.04,-1768254.15,181418992.83,-52194831.84,117529533.19,356744393.73,419991756.44,48014757.52,323088469.97,0.0,0.0
SZ002947,恒铭达,20211231,-44800538.43,29826101.09,-80986267.95,189508632.52,-44800538.43,591475038.38,357995385.25,9636446.16,9626611.03,385651378.06,0.0,74061739.5
SZ003038,鑫铂股份,20211231,-384632166.48,121007823.35,-338582507.66,814495222.31,-384632166.48,705051650.19,188416391.38,13812584.06,7104091.68,319661777.97,0.0,0.0
SZ300842,帝科股份,20211231,-259398093.53,93935699.23,-19531978.92,404774647.59,-259398093.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ300919,中伟股份,20211231,-1658738594.58,938199239.97,-5171421957.99,11264572573.35,-1658738594.58,4451798531.33,3317706123.47,277277118.62,85184510.21,8699335474.44,0.0,0.0
SZ300929,华骐环保,20211231,-66498324.39,72759772.5,-149985260.84,320793163.94,-66498324.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH600255,鑫科材料,20211231,-141151848.56,78257532.73,-165010826.56,363342159.3,-141151848.56,368177115.33,103423837.73,63254990.5,15579088.89,810467020.36,0.0,0.0
SH600319,*ST亚星,20211231,-83539114.01,193025919.36,-28575660.21,187871273.52,-83539114.01,11458363.77,364151855.11,1091685.0,0.0,86980239.66,0.0,0.0
SH600366,宁波韵升,20211231,-996053349.65,510230864.82,699892421.27,366563304.42,-996053349.65,1004215564.05,438880164.24,0.0,25318071.8,366498183.8,0.0,0.0
SH603078,江化微,20211231,-49311873.67,55955219.18,-316275505.73,132493521.39,-49311873.67,310267999.27,287980345.13,10756931.81,480780.77,292703078.05,0.0,0.0
SH603335,迪生力,20211231,-15796683.3,61204876.23,-156666546.29,117999469.23,-15796683.3,73203722.03,105869961.84,37797449.49,4766575.64,174936652.08,0.0,7365113.56
SH603897,长城科技,20211231,-359476984.96,341104603.35,430269656.47,-260199781.13,-359476984.96,1550215701.76,316857434.88,0.0,7063600.58,430690297.4,0.0,0.0
SH605136,丽人丽妆,20211231,-133866227.54,409815064.69,-146560332.02,-30788739.96,-133866227.54,141136937.75,163984377.06,0.0,369629470.12,1159947165.87,0.0,0.0
SH605208,永茂泰,20211231,-159941346.16,227324418.01,-211490025.58,423493412.76,-159941346.16,652624944.27,158113704.31,0.0,1575757.5,126778014.11,0.0,0.0
SH688037,芯源微,20211231,-218325429.94,77349494.43,-190691164.74,184045700.66,-218325429.94,229749699.39,185991983.22,38583311.44,5080103.74,232141478.18,0.0,0.0
SH688082,盛美上海,20211231,-189182778.11,266248156.63,-69597878.78,3394744863.29,-189182778.11,542192682.46,733425990.99,0.0,56227461.31,3402530435.4,0.0,0.0
SH688192,迪哲医药-U,20211231,-492277560.57,-669875908.62,-1627300414.28,1981124258.79,-492277560.57,7550307.96,131879773.96,0.0,1474653.65,364238631.27,0.0,0.0
SH688600,皖仪科技,20211231,-30684155.81,48899635.32,-69880802.4,-33916096.44,-30684155.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ000586,0,0,-6370609.59,28072004.28,-12858695.85,5205574.03,-6370609.59,226185305.92,72443576.13,19476641.71,15451126.46,73387915.92,0.0,0.0
SZ000795,0,0,-129650198.1,97919187.73,-109544592.4,25552441.97,-129650198.1,1023914617.92,767168750.93,18355978.44,14142273.0,326989245.43,0.0,0.0
SZ000856,0,0,-9131118.87,17337242.74,-47479536.11,-18325745.39,-9131118.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ301127,0,0,-73301265.22,160127577.8,-141560890.42,1118420402.32,-73301265.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH600212,0,0,-28223632.05,-20075049.2,4413922.22,-1397027.28,-28223632.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH603330,0,0,-36222263.54,105589403.36,-45471956.69,229777202.28,-36222263.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
