code,name,end_date,n_cashflow_act,net_profit,n_cashflow_inv_act,n_cash_flows_fnc_act,im_net_cashflow_oper_act,accounts_receiv,acct_payable,notes_receiv,oth_receiv,money_cap,r_and_d,goodwill
SZ000001,平安银行,20211231,-192733000000.0,36336000000.0,-40455000000.0,181064000000.0,-192733000000.0,0.0,0.0,0.0,0.0,0.0,0.0,7568000000.0
SZ000002,万科A,20211231,4113160948.2,38069527018.02,-26280786182.72,-23103767491.08,4113160948.2,4743597023.95,330411135278.79,27681787.89,0.0,149352444288.76,0.0,3822322807.59
SZ000009,中国宝安,20211231,-279272690.5,1759125767.38,-71709749.54,94744007.28,-279272690.5,3367014117.51,3350867300.87,132901271.2,768232800.42,6582119568.41,30297154.82,470527732.24
SZ000011,深物业A,20211231,-1813313008.58,986758701.05,-69569293.48,-485038611.8,-1813313008.58,271529528.64,337126528.68,200000.0,826857046.54,2171826176.21,0.0,9446847.38
SZ000014,沙河股份,20211231,-72482011.57,48989403.97,-19435091.28,-120063033.25,-72482011.57,631657.54,332736553.74,0.0,0.0,323830936.5,0.0,0.0
SZ000026,飞亚达,20211231,547249108.45,387860340.23,-204363130.08,-484548050.61,547249108.45,388885601.28,254588895.34,61258145.8,61553267.82,210254737.14,0.0,0.0
SZ000028,国药一致,20211231,1655180976.87,1527642194.87,-455532070.0,-1871640523.12,1655180976.87,15964603345.91,9057718968.14,680196380.57,718089129.1,5126159080.94,0.0,2775645585.32
SZ000029,深深房A,20211231,-1205952107.94,217599669.73,-951766390.81,101348552.82,-1205952107.94,61048785.11,141447559.24,3530537.37,29561815.32,564358824.63,0.0,0.0
SZ000037,深南电A,20211231,-39258302.07,-509400606.15,-161623393.12,126011199.6,-39258302.07,73610161.02,6703466.71,0.0,25841206.66,689604633.59,0.0,0.0
SZ000048,京基智农,20211231,2640721394.56,398589314.39,-2562033417.56,-102964201.04,2640721394.56,36449798.15,672199572.27,20000000.0,64348662.26,3526964972.87,0.0,0.0
SZ000049,德赛电池,20211231,480409520.37,793944831.77,-788239587.0,61009427.85,480409520.37,5150216628.06,4968013834.71,12239628.94,120465648.65,271024564.17,0.0,0.0
SZ000050,深天马A,20211231,5052998088.05,1542457101.05,-7980848340.31,2434183034.69,5052998088.05,6706244042.77,6077190643.42,0.0,139542417.37,4035334025.06,111649544.36,268879065.12
SZ000055,方大集团,20211231,-63425296.29,226798607.02,-116500657.34,49219675.72,-63425296.29,556453824.2,1343123485.97,166377880.01,165093406.23,1287563759.32,0.0,0.0
SZ000068,华控赛格,20211231,-20384186.38,-118303710.49,-1247967.36,-165577801.89,-20384186.38,467991300.9,606481157.8,14333263.21,20524143.78,295146261.45,0.0,1088001.71
SZ000402,金融街,20211231,3893007416.34,1581177163.14,4075512410.79,-8995304794.02,3893007416.34,721800067.51,9467770549.21,0.0,8274125485.74,17853994637.88,0.0,0.0
SZ000407,胜利股份,20211231,291309748.75,108925242.69,-288711215.41,-33391999.84,291309748.75,368235677.32,335358745.16,0.0,153325462.05,867249030.21,1564856.25,1201297853.84
