code,ts_code,symbol,name,area,industry,list_date,on_market_days,date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,volume_ratio_perc_rank,total_mv_perc_rank,circ_mv_perc_rank,pe_perc_rank,pe_ttm_perc_rank,ps_ttm_perc_rank,turnover_rate_f_perc_rank,name_x,roe,roa,total_profit,net_profit,free_cashflow,total_revenue,total_assets,total_liab,ebit,ebitda,netdebt,fcff,fcfe,name_year1,roe_year1,roa_year1,total_profit_year1,net_profit_year1,free_cashflow_year1,total_revenue_year1,total_assets_year1,total_liab_year1,ebit_year1,ebitda_year1,netdebt_year1,fcff_year1,fcfe_year1,ev,ev_ebitda_ratio,ev_ebitda_ratio_rank,total_mv_net_profit_ratio,total_mv_net_profit_ratio_rank
SZ000150,000150.SZ,150,宜华健康,广东,医疗保健,20000807,7743,20211019,3.56,7.0953,12.9472,0.0,0.0,0.0,0.0,2.0008,2.1321,0.0,0.0,87769.7557,80599.0242,44169.5305,312460.3303,286932.5262,0.0,0.2370469201690015,0.355792750722704,0.0,0.0,0.3491427299042529,0.9568601289748722,宜华健康,-133.7589,-6.8873,-605781737.97,-614461269.52,549557997.4,1561644374.35,5093297225.96,4817803117.26,12283910.14,161424828.83,2543641083.57,549557997.4,542699016.49,宜华健康,-97.9645,-18.8942,-1476260369.71,-1553817215.06,-305611364.51,1792237334.32,5951875681.65,5039772509.54,51716444.55,303648382.2,2915787285.1,-305611364.51,-149163646.39,5668244386.57,35.11383241136561,0.7474502185526954,-5.085110255103389,0.1143759106362311
SZ000410,000410.SZ,410,ST沈机,辽宁,机床制造,19960718,9224,20211019,4.82,0.2059,0.3342,0.0,0.0,0.0,43.6331,6.0434,5.3027,0.0,0.0,168403.5944,168091.5944,103554.5169,811705.325,810201.485,0.0,0.6141872359350679,0.6924616410940627,0.0,0.0,0.685148073925629,0.0173448965977318,ST沈机,-98.1719,-10.1957,-729934123.95,-734178581.0,-1225861891.9,1343137453.56,5555335057.58,5208111073.42,-635458979.34,-419157172.62,-124692634.99,-1225861891.9,-1543349891.9,ST沈机,-508.3259,-19.0492,-3087718810.12,-3116594934.87,-497295804.92,1002138346.66,7212131114.02,6115973654.88,-7488862838.48,-7013803444.37,-1722472651.32,-497295804.92,-675109801.16,7992360615.01,-19.06769378429729,0.0716367168528411,-11.055965755557777,0.0801359883438562
SZ000502,000502.SZ,502,*ST绿景,广东,综合类,19921123,10557,20211019,6.4,0.8023,1.0396,0.0,0.0,0.0,6.9064,80.2466,63.7366,0.0,0.0,18481.9607,18334.7957,14148.3491,118284.5485,117342.6925,0.0,0.0044474093840338,0.0985101178563486,0.0,0.0,0.9924293030505456,0.2595063375583722,*ST绿景,-9.8035,-8.0271,-18823018.93,-18823018.93,-18195275.75,14740139.64,231581144.72,40551606.6,-20178331.87,-19042295.42,-58710765.4,-18195275.75,-18195275.75,*ST绿景,-4.4718,-3.4044,-9850219.22,-9850219.22,-169112068.59,16318724.81,246871600.36,37019043.31,-16129172.83,-14932006.95,-72748040.2,-169112068.59,-169112068.59,1124134719.6,-59.03357209863094,0.0432248664400194,-62.84037058023615,0.0279261777561923
SZ000506,000506.SZ,506,中润资源,山东,黄金,19930312,10448,20211019,3.22,1.8094,2.8764,0.0,0.0,0.0,5.9638,7.0378,6.8164,0.0,0.0,92901.7761,92859.4461,58411.3026,299143.719,299007.4164,0.0,0.2172559484100511,0.3698020902824105,0.0,0.0,0.7679804052549544,0.6593284411830109,中润资源,-62.2873,-16.7461,-484518982.54,-485761007.65,687076867.4,425054418.8,2323131340.61,1749493272.43,38968461.53,173278424.66,411742895.65,687076867.4,672211304.61,中润资源,-1.7335,1.4505,-30249840.21,-32141781.59,440963587.89,515388115.28,2621884518.31,1527945551.97,-69135698.78,69560798.76,264928139.7,440963587.89,401287348.78,3403180085.65,19.63995282348385,0.5267119961146187,-6.158248897892989,0.1073336571151044
SZ000564,000564.SZ,564,*ST大集,陕西,百货,19940110,10144,20211019,3.93,0.9067,1.0021,0.0,0.0,0.0,0.9362,10.641,12.1379,0.0,0.0,598200.4024,200595.2559,181497.9639,2350927.5814,788339.3557,0.0,0.8401156326439849,0.688014231710029,0.0,0.0,0.8815408594967713,0.2466088503446742,*ST大集,-16.4447,-8.0832,-4631766140.11,-4606033965.83,-2483083216.38,2210632901.92,46972672942.69,21122830473.43,-485514893.46,-387106844.16,8226848137.26,-2483083216.38,-3038680347.43,*ST大集,-3.9969,-0.7435,-983665377.75,-1298042084.99,-6477176450.61,5829365358.72,52454210240.87,21961586481.38,-195630113.12,159984991.22,5062967192.13,-6477176450.61,-8682607972.45,31736123951.26,-81.98285416556145,0.0347255949490043,-5.104017032528258,0.1138902379796017
SZ000566,000566.SZ,566,海南海药,海南,化学制药,19940525,10009,20211019,4.31,0.5682,0.7692,0.0,0.0,0.0,1.6864,2.5413,2.5928,0.0,0.0,129736.5126,116521.7077,86068.7301,559164.3693,502208.5602,0.0,0.4927729597509451,0.5597064709806537,0.0,0.0,0.4168336673346693,0.1558816989103847,海南海药,-14.2129,-5.3257,-712159121.73,-654561154.63,-1338286915.4,2200313977.32,10279231596.61,6307612628.58,-446852094.16,-128481175.82,2759017977.11,-1338286915.4,-535896328.09,海南海药,-3.5103,0.8817,-123189643.18,-194648721.64,-506648856.96,2445289306.23,10776931047.26,6146298976.6,-293848866.71,-152509480.01,1337513730.15,-506648856.96,-1069054433.69,8350661670.110001,-64.99521518863698,0.0405536668285575,-8.542584070942548,0.0934919864011656
SZ000571,000571.SZ,571,ST大洲,海南,综合类,19940525,10009,20211019,2.25,0.4899,0.7503,0.0,0.0,0.0,4.1967,1.8518,2.2051,0.0,0.0,81406.4,81403.6325,53151.4293,183164.4,183158.1731,0.0,0.0522570602623971,0.2041360907271514,0.0,0.0,0.3604987753284346,0.1503224371803424,ST大洲,-55.1888,-7.03,-326359218.59,-352822686.65,582645351.83,989107970.4,2931012359.75,1987761424.7,-12832953.23,148302465.98,442152206.23,582645351.83,536270551.83,ST大洲,-60.2011,-12.8366,-594621078.03,-615841474.11,419756445.9,1439198672.23,3452718930.41,2207752398.13,-35405042.63,134162621.65,510027530.31,419756445.9,228433784.08,2273796206.23,15.33215372518919,0.412821758135017,-5.191400863111137,0.1129188926663428
SZ000587,000587.SZ,587,*ST金洲,黑龙江,批发业,19960425,9308,20211019,1.33,1.5777,2.1765,0.0,62.6505,2.8029,0.0,7.4734,0.0,0.0,0.0,212374.933,121301.185,87928.8146,282458.6609,161330.5761,0.0,0.1950189014898821,0.1652212586168557,0.6892481395945599,0.0018243419338024,0.0,0.5585946186346453,*ST金洲,14.6671,2.9523,-245850079.1,-266045352.02,-1046104292.55,377949987.43,5242408950.73,4904547732.12,-2376905286.35,-2353526636.9,2320614027.14,-1046104292.55,-2174626084.47,*ST金洲,-183.2192,-17.9433,-6403368661.03,-6463396868.69,1835003863.3,4233894762.71,22298022373.36,22183703249.72,-6397291.52,56625212.16,11576865591.12,1835003863.3,1243829109.46,5145200636.139999,-2.1861663069669417,0.088878096163186,-10.616936501817408,0.0823215152986886
SZ000599,000599.SZ,599,青岛双星,山东,汽车配件,19960430,9303,20211019,3.72,0.277,0.4612,0.0,0.0,0.0,0.9172,0.6873,0.6503,0.0,0.0,81679.2487,81674.4457,49049.6154,303846.8052,303828.938,0.0,0.2252612853013119,0.3755837224816544,0.0,0.0,0.079046982854598,0.0446964643095396,青岛双星,-0.928,0.865,-71575846.96,-72248536.29,-377804924.86,4420681414.44,10059206578.69,6538625934.65,50836380.67,397244944.74,2946027370.69,-377804924.86,205165675.3,青岛双星,-7.7165,-2.1289,-333914401.02,-311516324.3,330456293.93,4123789731.06,9881147932.18,6247748212.55,-329964875.61,-73511126.49,2280384697.0,330456293.93,1203705713.47,5984495422.690001,15.065000831179615,0.40165128703254,-42.05577314125542,0.0373967945604662
SZ000606,000606.SZ,606,ST顺利,青海,互联网,19961004,9146,20211019,2.02,0.6404,0.8777,0.0,0.0,0.0,3.5741,1.9973,4.0077,0.0,0.0,76579.9353,70720.1606,51601.1048,154691.4693,142854.7244,0.0,0.0224594173893706,0.1396486546586613,0.0,0.0,0.5804943219772879,0.1959083833666889,ST顺利,-115.147,-54.9592,-1184555528.62,-1193540870.5,-377816819.03,774504021.7,1502694782.9,1068591699.62,-68905979.03,-52296292.51,48642442.88,-377816819.03,-380790397.28,ST顺利,-45.7323,-27.7434,-969336546.2,-1008777162.63,316368219.48,2025037868.9,2783863353.8,1094255424.4,128846728.92,158558176.39,299197297.57,316368219.48,413736163.07,1595557135.88,-30.509947441778987,0.0599805730937348,-1.296071823960217,0.141816415735794
