code,name,end_date,audit_result,audit_agency,audit_sign
SH600182,SST佳通,20201231,保留意见,永拓会计师事务所,"史绍禹,杜凤利"
SZ300051,ST三五,20201231,带强调事项段的无保留意见,华兴会计师事务所,"江叶瑜,李卓良"
SZ002086,ST东洋,20201231,保留意见,和信会计师事务所,"刘学伟,韩伟"
SZ002175,*ST东网,20201231,保留意见,中兴财光华会计师事务所,"赵海宾,伏立钲"
SZ000972,*ST中基,20201231,带强调事项段的无保留意见,中兴财光华会计师事务所,"陈海龙,陈跃华"
SH600595,ST中孚,20201231,带强调事项段的无保留意见,北京兴华会计师事务所,"卜晓丽,马云伟"
SZ002021,ST中捷,20201231,带强调事项段的无保留意见,立信会计师事务所,"李长照,杨彩凤"
SH603996,*ST中新,20201231,无法表示意见,众华会计师事务所,"莫旭巍,李明"
SH600242,ST中昌,20201231,保留意见,亚太(集团)会计师事务所,"李亚东,赵青"
SH600568,ST中珠,20201231,保留意见,大华会计师事务所,"程银春,张旭东"
SZ000609,*ST中迪,20201231,带强调事项段的无保留意见,立信会计师事务所,"张福建,季妍"
SZ002618,*ST丹邦,20201231,无法表示意见,亚太(集团)会计师事务所,"戴勤永,雷海林"
SH600462,ST九有,20201231,带强调事项段的无保留意见,中兴财光华会计师事务所,"张学福,王振伟"
SH600239,*ST云城,20201231,带强调事项段的无保留意见,信永中和会计师事务所,"彭让,李秋霞"
SZ002200,ST云投,20201231,带强调事项段的无保留意见,中审众环会计师事务所,"刘蓉晖,汪坤碧"
SH600319,*ST亚星,20201231,带强调事项段的无保留意见,上会会计师事务所,"朱清滨,唐家波"
SZ002464,*ST众应,20201231,保留意见,中兴华会计师事务所,"刘炼,李云飞"
SZ000980,*ST众泰,20201231,保留意见,中兴财光华会计师事务所,"汪小刚,孙玉锋"
SH600289,ST信通,20201231,带强调事项段的无保留意见,大华会计师事务所,"惠增强,杨志远"
SZ300356,ST光一,20201231,保留意见,众华会计师事务所,"刘磊,陈斯奇"
