code,name,p_total_ratio_sum
SZ002752,昇兴股份,8053.2
SZ000712,锦龙股份,314.47
SH603998,方盛制药,285.64
SH603818,曲美家居,281.39
SH603667,五洲新春,267.05
SH600246,万通发展,265.16
SH600370,三房巷,251.61
SH600180,瑞茂通,242.6
SZ300365,恒华科技,239.58
SZ002846,英联股份,238.73
SZ300503,昊志机电,237.36
SH603567,珍宝岛,233.69
SH603223,恒通股份,233.44
SH600297,广汇汽车,232.07
SH600077,宋都股份,224.8
SH603997,继峰股份,221.72
SH603990,麦迪科技,212.31
SH603991,至正股份,209.79
SH600053,九鼎投资,198.97
SH603879,永悦科技,189.82
SH603322,超讯通信,189.28
SH600361,华联综超,189.07
SZ000918,嘉凯城,188.52
SZ000534,万泽股份,186.38
SZ002146,荣盛发展,183.86
SZ002416,爱施德,182.34
SH600693,东百集团,181.66
SH603333,尚纬股份,181.34
SH603636,南威软件,181.11
SH603717,天域生态,179.32
SZ300270,中威电子,179.24
SZ002612,朗姿股份,178.27
SZ300103,达刚控股,176.4
SZ002862,实丰文化,175.47
SH603006,联明股份,174.96
SH603569,长久物流,174.78
SH603577,汇金通,174.16
SH603778,乾景园林,172.55
SZ002578,闽发铝业,171.41
SH601519,大智慧,170.93
SH600774,汉商集团,170.0
SH603918,金桥信息,167.98
SH600208,新湖中宝,167.68
SH603839,安正时尚,167.34
SZ002588,史丹利,165.99
SH603313,梦百合,165.35
SZ300143,盈康生命,164.59
SZ002772,众兴菌业,164.36
SZ300199,翰宇药业,163.23
SH600538,国发股份,163.19
SH603936,博敏电子,161.5
SH603336,宏辉果蔬,160.21
SH600869,远东股份,159.93
SH603626,科森科技,158.83
SZ002715,登云股份,158.17
SH600766,*ST园城,158.05
SH603501,韦尔股份,158.01
SZ002468,申通快递,157.95
SZ002602,世纪华通,157.74
SZ002516,旷达科技,156.26
SZ000510,新金路,155.53
SZ002795,永和智控,152.58
SH603388,元成股份,152.23
SZ300298,三诺生物,152.15
SH603738,泰晶科技,151.18
SZ300506,名家汇,151.16
SZ002817,黄山胶囊,150.68
SH603919,金徽酒,147.95
SZ000042,中洲控股,147.61
SZ300456,赛微电子,145.68
SZ002229,鸿博股份,145.51
SH603033,三维股份,145.32
SZ002734,利民股份,144.4
SZ300121,阳谷华泰,144.22
SZ300586,美联新材,143.88
SH603696,安记食品,142.74
SH603880,南卫股份,142.54
SH603985,恒润股份,140.65
SH603843,正平股份,140.2
SH600867,通化东宝,139.84
SZ002858,力盛赛车,139.51
SZ002347,泰尔股份,139.38
SH600828,茂业商业,139.36
SH603127,昭衍新药,139.34
SH600242,ST中昌,137.63
SZ300337,银邦股份,137.58
SZ300626,华瑞股份,136.99
SZ002225,濮耐股份,135.76
SZ300095,华伍股份,135.58
SZ002378,章源钨业,135.27
SZ300562,乐心医疗,135.14
SH603699,纽威股份,134.79
SZ002728,特一药业,134.31
SH603628,清源股份,134.25
SZ000078,海王生物,133.81
SH603690,至纯科技,132.87
SH600577,精达股份,132.06
SH600190,锦州港,131.18
SZ300162,雷曼光电,130.99
SZ002082,万邦德,130.82
SH600735,新华锦,130.64
SH600400,红豆股份,129.99
SZ300108,吉药控股,129.83
SZ000967,盈峰环境,129.81
SZ002793,罗欣药业,129.35
SH603318,水发燃气,129.07
SH603716,塞力医疗,128.74
SZ002174,游族网络,128.49
SZ000546,金圆股份,128.42
SZ002382,蓝帆医疗,126.27
SZ300606,金太阳,125.4
SH603001,奥康国际,124.96
SH603616,韩建河山,124.47
SH600896,*ST海医,124.34
SZ002549,凯美特气,123.54
SH603030,全筑股份,123.23
SZ002424,贵州百灵,122.71
SZ002781,奇信股份,122.09
SH603819,神力股份,122.0
SH600232,金鹰股份,121.96
SZ300276,三丰智能,121.64
SZ000506,中润资源,121.3
SH600381,青海春天,120.87
SH603558,健盛集团,120.84
SH603578,三星新材,120.65
SH600022,山东钢铁,120.52
SZ300736,百邦科技,120.03
SZ002822,中装建设,119.54
SZ300569,天能重工,119.51
SZ002726,龙大肉食,119.34
SH603398,邦宝益智,118.98
SH603838,四通股份,118.41
SH601216,君正集团,117.83
SH603010,万盛股份,117.54
SH603518,锦泓集团,116.24
SZ300474,景嘉微,116.0
SH601218,吉鑫科技,115.49
SZ300495,*ST美尚,114.91
SH603029,天鹅股份,114.47
SZ300663,科蓝软件,114.21
SH603779,威龙股份,114.13
SH603800,道森股份,114.04
SZ300283,温州宏丰,113.45
SZ002765,蓝黛科技,113.11
SH603683,晶华新材,113.01
SH600892,大晟文化,112.94
SH600707,彩虹股份,112.64
SZ002166,莱茵生物,112.4
SH601028,玉龙股份,112.2
SZ002537,海联金汇,112.11
SH603138,海量数据,112.01
SH603101,汇嘉时代,112.0
SZ002742,三圣股份,111.79
SH600165,新日恒力,111.69
