code,name,end_date,n_cashflow_act,net_profit,n_cashflow_inv_act,n_cash_flows_fnc_act,im_net_cashflow_oper_act,accounts_receiv,acct_payable,notes_receiv,oth_receiv,money_cap,r_and_d,goodwill
SZ000009,中国宝安,20211231,-279272690.5,1759125767.38,-71709749.54,94744007.28,-279272690.5,3367014117.51,3350867300.87,132901271.2,768232800.42,6582119568.41,30297154.82,470527732.24
SZ000016,深康佳A,20211231,808756394.11,806700826.1,-2684952626.73,3564857389.99,808756394.11,3397729481.07,3784315091.41,1777477481.28,1834886622.85,6489553211.24,16870310.7,22196735.11
SZ000026,飞亚达,20211231,547249108.45,387860340.23,-204363130.08,-484548050.61,547249108.45,388885601.28,254588895.34,61258145.8,61553267.82,210254737.14,0.0,0.0
SZ000028,国药一致,20211231,1655180976.87,1527642194.87,-455532070.0,-1871640523.12,1655180976.87,15964603345.91,9057718968.14,680196380.57,718089129.1,5126159080.94,0.0,2775645585.32
SZ000034,神州数码,20211231,-156127597.18,249771452.42,-289139866.56,1026941893.14,-156127597.18,8343727083.44,7841738116.79,331305981.02,291557759.87,4614179725.89,0.0,956502691.09
SZ000035,中国天楹,20211231,2524740711.66,868046622.95,4703942771.88,-6112728673.72,2524740711.66,1243034135.96,2085019363.11,8038332.77,203950266.66,3876376806.19,86248655.85,65674388.08
SZ000037,深南电A,20211231,-39258302.07,-509400606.15,-161623393.12,126011199.6,-39258302.07,73610161.02,6703466.71,0.0,25841206.66,689604633.59,0.0,0.0
SZ000039,中集集团,20211231,20574655000.0,8360768000.0,-2843021000.0,-12186978000.0,20574655000.0,25491181000.0,17504738000.0,947968000.0,0.0,16442733000.0,0.0,2268466000.0
SZ000045,深纺织A,20211231,-4436980.35,75114666.2,-258529444.37,288274035.87,-4436980.35,479998708.57,283643842.23,149942880.28,140185750.4,302472828.6,0.0,0.0
SZ000049,德赛电池,20211231,480409520.37,793944831.77,-788239587.0,61009427.85,480409520.37,5150216628.06,4968013834.71,12239628.94,120465648.65,271024564.17,0.0,0.0
SZ000050,深天马A,20211231,5052998088.05,1542457101.05,-7980848340.31,2434183034.69,5052998088.05,6706244042.77,6077190643.42,0.0,139542417.37,4035334025.06,111649544.36,268879065.12
SZ000055,方大集团,20211231,-63425296.29,226798607.02,-116500657.34,49219675.72,-63425296.29,556453824.2,1343123485.97,166377880.01,165093406.23,1287563759.32,0.0,0.0
SZ000058,深赛格,20211231,754029738.42,98826945.92,233954270.91,-713764727.9,754029738.42,209248610.21,380319611.5,5441038.0,0.0,1102543548.87,0.0,71041012.43
SZ000062,深圳华强,20211231,-931589530.64,1042688962.25,-432189461.87,1988285345.49,-931589530.64,4784320610.55,788232163.59,36992693.57,47942847.54,2537721584.75,0.0,1848430927.27
SZ000063,中兴通讯,20211231,15723527000.0,7035890000.0,-10592438000.0,2778514000.0,15723527000.0,17509059000.0,21717267000.0,0.0,1058633000.0,50713310000.0,2453275000.0,0.0
SZ000068,华控赛格,20211231,-20384186.38,-118303710.49,-1247967.36,-165577801.89,-20384186.38,467991300.9,606481157.8,14333263.21,20524143.78,295146261.45,0.0,1088001.71
SZ000099,中信海直,20211231,728952461.78,248763083.79,-218613364.43,671665638.29,728952461.78,831274684.2,92840764.03,0.0,36825570.66,1929701472.43,0.0,0.0
SZ000157,中联重科,20211231,2624725832.05,6386025693.63,-1834023012.39,2420618753.27,2624725832.05,43026693281.74,14708779954.95,358589332.35,1213368576.57,15166953759.11,45990860.02,1944990705.11
SZ000338,潍柴动力,20211231,14657559249.69,11561889504.06,-5408578985.85,3123459171.45,14657559249.69,18190789560.77,39596466106.26,9602183466.78,1049550616.23,75043361416.53,212459914.33,22847040337.79
