name,code
ST星源,SZ000005
*ST全新,SZ000007
ST沈机,SZ000410
*ST绿景,SZ000502
*ST华塑,SZ000509
ST国医,SZ000516
*ST浪奇,SZ000523
ST红太阳,SZ000525
*ST大集,SZ000564
ST大洲,SZ000571
*ST东电,SZ000585
*ST金洲,SZ000587
ST顺利,SZ000606
*ST中迪,SZ000609
*ST天首,SZ000611
*ST东海A,SZ000613
ST海投,SZ000616
*ST万方,SZ000638
ST金鸿,SZ000669
*ST当代,SZ000673
*ST华讯,SZ000687
*ST西发,SZ000752
ST北文,SZ000802
ST银河,SZ000806
*ST节能,SZ000820
*ST长动,SZ000835
ST高升,SZ000971
*ST中基,SZ000972
*ST众泰,SZ000980
*ST银亿,SZ000981
ST德豪,SZ002005
ST中捷,SZ002021
ST同洲,SZ002052
*ST威尔,SZ002058
*ST凯瑞,SZ002072
ST雪莱,SZ002076
ST东洋,SZ002086
ST新海,SZ002089
ST冠福,SZ002102
ST天润,SZ002113
ST天马,SZ002122
*ST新光,SZ002147
*ST巴士,SZ002188
ST云投,SZ002200
*ST恒康,SZ002219
ST升达,SZ002259
*ST华英,SZ002321
*ST雅博,SZ002323
*ST赫美,SZ002356
ST森源,SZ002358
ST尤夫,SZ002427
*ST晨鑫,SZ002447
*ST众应,SZ002464
ST金正,SZ002470
*ST圣莱,SZ002473
ST辉丰,SZ002496
*ST科林,SZ002499
*ST利源,SZ002501
ST弘高,SZ002504
ST林重,SZ002535
ST步森,SZ002569
*ST群兴,SZ002575
*ST围海,SZ002586
ST八菱,SZ002592
*ST丹邦,SZ002618
*ST艾格,SZ002619
*ST跨境,SZ002640
ST摩登,SZ002656
ST奥马,SZ002668
*ST猛狮,SZ002684
ST远程,SZ002692
ST浩源,SZ002700
*ST索菱,SZ002766
*ST科迪,SZ002770
ST柏龙,SZ002776
ST天圣,SZ002872
*ST宝德,SZ300023
*ST天龙,SZ300029
*ST数知,SZ300038
*ST赛为,SZ300044
ST三五,SZ300051
*ST金刚,SZ300064
*ST嘉信,SZ300071
ST文化,SZ300089
*ST腾邦,SZ300178
*ST聚龙,SZ300202
*ST星星,SZ300256
ST联建,SZ300269
*ST华昌,SZ300278
*ST邦讯,SZ300312
ST天山,SZ300313
*ST德威,SZ300325
ST光一,SZ300356
*ST网力,SZ300367
ST安控,SZ300370
*ST乐材,SZ300446
*ST美尚,SZ300495
*ST达志,SZ300530
*ST西域,SZ300859
*ST澄星,SH600078
*ST博信,SH600083
*ST中葡,SH600084
*ST济堂,SH600090
*ST明科,SH600091
*ST易见,SH600093
*ST天成,SH600112
ST宏图,SH600122
ST西源,SH600139
*ST环球,SH600146
SST佳通,SH600182
*ST华资,SH600191
*ST大唐,SH600198
*ST罗顿,SH600209
*ST海航,SH600221
*ST松江,SH600225
ST瀚叶,SH600226
*ST云城,SH600239
ST时万,SH600241
ST中昌,SH600242
ST凯乐,SH600260
*ST景谷,SH600265
*ST昌鱼,SH600275
ST信通,SH600289
ST华仪,SH600290
*ST西水,SH600291
*ST南化,SH600301
ST商城,SH600306
ST荣华,SH600311
*ST亚星,SH600319
ST通葡,SH600365
*ST广珠,SH600382
*ST金泰,SH600385
ST海越,SH600387
ST粤泰,SH600393
ST大有,SH600403
ST安泰,SH600408
ST九有,SH600462
*ST香梨,SH600506
*ST基础,SH600515
*ST康美,SH600518
*ST海创,SH600555
ST中珠,SH600568
ST榕泰,SH600589
*ST圣亚,SH600593
ST中孚,SH600595
ST熊猫,SH600599
ST方科,SH600601
ST沪科,SH600608
*ST丰华,SH600615
*ST游久,SH600652
ST中安,SH600654
ST瑞德,SH600666
ST目药,SH600671
*ST绿庭,SH600695
*ST百花,SH600721
*ST实达,SH600734
*ST园城,SH600766
ST辅仁,SH600781
ST安信,SH600816
*ST中天,SH600856
*ST厦华,SH600870
*ST中房,SH600890
*ST海医,SH600896
ST美讯,SH600898
ST华钰,SH601020
ST华鼎,SH601113
ST花王,SH603007
*ST德新,SH603032
*ST拉夏,SH603157
ST贵人,SH603555
ST起步,SH603557
ST龙韵,SH603729
ST松炀,SH603863
*ST中新,SH603996
