code,name
SH603996,*ST中新
SH603157,*ST拉夏
SZ300795,*ST米奥
SZ300367,*ST网力
SH600145,退新亿
SH600306,ST商城
SH603322,超讯通信
SZ000516,ST国医
SH600595,ST中孚
SZ002470,ST金正
SZ002086,ST东洋
SZ002719,麦趣尔
SZ002210,飞马国际
SH600856,*ST中天
SZ001267,汇绿生态
SZ300089,ST文化
SZ002259,ST升达
SZ000663,永安林业
SZ002668,ST奥马
SZ002113,ST天润
SZ000669,ST金鸿
SZ300256,*ST星星
SH600260,ST凯乐
SH600593,*ST圣亚
SH603555,ST贵人
SZ300362,0
SZ002638,勤上股份
SZ000595,宝塔实业
SH600093,*ST易见
SZ002716,金贵银业
SZ002535,ST林重
SZ000410,ST沈机
SZ000017,深中华A
SZ000806,ST银河
SZ002529,海源复材
SZ000780,0
SZ002513,蓝丰生化
SZ000971,ST高升
SZ002496,ST辉丰
SZ002122,ST天马
SZ000638,*ST万方
SZ002076,ST雪莱
SZ000760,0
SZ002359,0
SZ002418,康盛股份
SZ000982,中银绒业
SZ002052,ST同洲
SZ000571,ST大洲
SZ002247,聚力文化
SZ002077,大港股份
SH600614,0
SH600634,0
SZ002711,0
SZ002121,科陆电子
SZ300356,ST光一
SZ000953,河化股份
SZ002502,鼎龙文化
SZ002354,天娱数科
SZ002280,联络互动
SH600671,ST目药
SH600289,ST信通
SH600781,ST辅仁
SH600242,ST中昌
SH600226,ST瀚叶
SH600599,ST熊猫
SH600821,金开新能
SH600280,中央商场
SH600311,ST荣华
SH600836,上海易连
SH600354,敦煌种业
SH600898,ST美讯
SH600241,ST时万
SH600816,ST安信
SH600568,ST中珠
SH600290,ST华仪
SH600530,交大昂立
SZ000890,法尔胜
SZ000837,秦川机床
SH600122,ST宏图
SH600462,ST九有
SH603389,亚振家居
SZ000408,藏格矿业
SZ000536,华映科技
SH600179,安通控股
SH600243,青海华鼎
SZ002255,海陆重工
SH600215,派斯林
SZ002426,胜利精密
SZ002071,0
SZ300495,*ST美尚
SZ002640,*ST跨境
SH600358,国旅联合
SZ000802,ST北文
SZ002175,东方网络
SH600078,*ST澄星
SH600112,*ST天成
SZ000502,*ST绿景
SH600139,ST西源
SZ000523,*ST浪奇
SH600291,*ST西水
SZ000611,*ST天首
SZ000606,ST顺利
SH600393,ST粤泰
SH600387,ST海越
SZ000616,ST海投
SH603729,ST龙韵
SZ000005,ST星源
SH600615,*ST丰华
SH603007,ST花王
SZ000525,ST红太阳
SH600275,*ST昌鱼
SH600382,*ST广珠
SH603863,ST松炀
SZ300178,*ST腾邦
SH600589,ST榕泰
SH600870,*ST厦华
SZ300269,ST联建
SZ002770,*ST科迪
SH600896,*ST海医
SH600652,*ST游久
SH603557,ST起步
SH600319,*ST亚星
SH600091,*ST明科
SZ300202,*ST聚龙
SZ000007,*ST全新
SH600265,*ST景谷
SZ002473,*ST圣莱
SZ002358,ST森源
SZ002619,*ST艾格
SZ300530,*ST达志
SH600191,*ST华资
SH600198,*ST大唐
SH600601,ST方科
SZ300278,*ST华昌
SH601020,ST华钰
SZ002618,*ST丹邦
SZ000609,*ST中迪
SZ002321,*ST华英
SZ002684,*ST猛狮
SZ300044,*ST赛为
SZ300038,*ST数知
SH600518,*ST康美
SZ300312,*ST邦讯
SZ300325,*ST德威
SZ002089,ST新海
SZ300313,ST天山
SZ002700,ST浩源
SH600239,*ST云城
SZ300859,*ST西域
SZ300071,*ST嘉信
SH600506,*ST香梨
SZ300064,*ST金刚
SH600403,ST大有
SH603032,*ST德新
SZ000679,大连友谊
SZ300446,*ST乐材
SH600301,*ST南化
SZ300023,*ST宝德
SH600084,*ST中葡
SH600385,*ST金泰
SZ000613,*ST东海A
SH600300,ST维维
SZ300029,*ST天龙
SZ000972,*ST中基
SZ300051,ST三五
SZ002464,*ST众应
SZ300370,ST安控
SH600182,SST佳通
SH600766,*ST园城
SH601777,力帆科技
SZ002504,ST弘高
SH600695,*ST绿庭
SZ000980,*ST众泰
SH600651,飞乐音响
SH600399,抚顺特钢
