stopProcess,code,name,end_date
1,SZ000001,平安银行,20211231
1,SZ000045,深纺织A,20211231
1,SZ000048,京基智农,20211231
1,SZ000050,深天马A,20211231
1,SZ000062,深圳华强,20211231
1,SZ000063,中兴通讯,20211231
1,SZ000068,华控赛格,20211231
1,SZ000509,*ST华塑,20211231
1,SZ000708,中信特钢,20211231
1,SZ000712,锦龙股份,20211231
1,SZ000798,中水渔业,20211231
1,SZ000803,北清环能,20211231
1,SZ002033,丽江股份,20211231
1,SZ002056,横店东磁,20211231
1,SZ002092,中泰化学,20211231
1,SZ002167,东方锆业,20211231
1,SZ002198,嘉应制药,20211231
1,SZ002323,*ST雅博,20211231
1,SZ002324,普利特,20211231
1,SZ002346,柘中股份,20211231
1,SZ002379,宏创控股,20211231
1,SZ002419,天虹股份,20211231
1,SZ002420,毅昌科技,20211231
1,SZ002455,百川股份,20211231
1,SZ002458,益生股份,20211231
1,SZ002793,罗欣药业,20211231
1,SZ002843,泰嘉股份,20211231
1,SZ002912,中新赛克,20211231
1,SZ002938,鹏鼎控股,20211231
1,SZ002947,恒铭达,20211231
1,SZ003038,鑫铂股份,20211231
1,SZ300083,创世纪,20211231
1,SZ300146,汤臣倍健,20211231
1,SZ300281,金明精机,20211231
1,SZ300688,创业黑马,20211231
1,SZ300692,中环环保,20211231
1,SZ300708,聚灿光电,20211231
1,SZ300721,怡达股份,20211231
1,SZ300772,运达股份,20211231
1,SZ300842,帝科股份,20211231
1,SZ300848,美瑞新材,20211231
1,SZ300890,翔丰华,20211231
1,SZ300919,中伟股份,20211231
1,SZ300929,华骐环保,20211231
1,SZ301007,德迈仕,20211231
1,SH600113,浙江东日,20211231
1,SH600151,航天机电,20211231
1,SH600207,安彩高科,20211231
1,SH600231,凌钢股份,20211231
1,SH600255,鑫科材料,20211231
1,SH600272,开开实业,20211231
1,SH600300,ST维维,20211231
1,SH600315,上海家化,20211231
1,SH600319,*ST亚星,20211231
1,SH600366,宁波韵升,20211231
1,SH600409,三友化工,20211231
1,SH600481,双良节能,20211231
1,SH600511,国药股份,20211231
1,SH600523,贵航股份,20211231
1,SH600552,凯盛科技,20211231
1,SH600557,康缘药业,20211231
1,SH600973,宝胜股份,20211231
1,SH603078,江化微,20211231
1,SH603093,南华期货,20211231
1,SH603103,横店影视,20211231
1,SH603169,兰石重装,20211231
1,SH603179,新泉股份,20211231
1,SH603303,得邦照明,20211231
1,SH603335,迪生力,20211231
1,SH603356,华菱精工,20211231
1,SH603477,巨星农牧,20211231
1,SH603773,沃格光电,20211231
1,SH603897,长城科技,20211231
1,SH603901,永创智能,20211231
1,SH605136,丽人丽妆,20211231
1,SH605208,永茂泰,20211231
1,SH605299,舒华体育,20211231
1,SH688037,芯源微,20211231
1,SH688082,盛美上海,20211231
1,SH688192,迪哲医药-U,20211231
1,SH688350,富淼科技,20211231
1,SH688600,皖仪科技,20211231
1,BJ833874,泰祥股份,20211231
