code,cnt,name
 SZ300741 ,31, -0.06   
 SH600285 ,31, 0.47    
 SH603697 ,31, 0.15    
 SZ300821 ,15, 0.08    
 SZ300200 ,15, 0.23    
 SZ002254 ,15, 0.49    
 SZ002603 ,15, 1.25    
 SH600618 ,15, -0.95   
 SZ002737 ,15, -0.16   
 SZ300653 ,15, 0.27    
 SZ002895 ,15, 0.32    
 SZ002624 ,15, 0.29    
 SZ002222 ,15, 0.15    
 SH600085 ,15, -0.02   
 SH600436 ,15, 0.14    
 SH603297 ,7, 0.14    
 SZ000848 ,7, -0.13   
 SZ002932 ,7, 17.56   
 SH603599 ,7, 0.72    
 SZ300768 ,7, 0.24    
 SZ300618 ,7, 0.45    
 SZ002923 ,7, 0.58    
 SZ002901 ,7, 0.87    
 SZ300725 ,7, 0.4     
 SZ001872 ,7, 1.45    
 SH603198 ,7, 0.11    
 SZ002690 ,7, 0.15    
 SZ002223 ,7, 1.18    
 SZ300699 ,7, 0.54    
 SH603605 ,7, 0.36    
 SZ000513 ,7, 0.29    
 SH603893 ,7, 0.1     
 SH601865 ,7, 0.79    
 SZ300760 ,7, 0.28    
 SZ002538 ,7, 0.93    
 SH601006 ,3, 1.14    
 SZ300146 ,3, 0.82    
 SZ002643 ,1, 0.19    
 SZ300735 ,1, 0.76    
